"Resource name",Url,Platform,"ELIXIR Node","Scientific domain","ELIXIR badge",Description,"Principal investigator","bio.tools link","FAIRsharing link"
PEP-FOLD4,https://bioserv.rpbs.univ-paris-diderot.fr/services/PEP-FOLD4/#overview,,"ELIXIR France","Proteins and proteomes",,"PEP-FOLD4 is a service designed for the accurate and fast structure prediction of peptides containing fewer than 40 amino acids in aqueous solutions, particularly adapted to poly-charged peptides.","Pierre Tufféry",,
PeptideShaker,http://compomics.github.io/projects/peptide-shaker.html,,,"Proteins and proteomes",,"A platform for interpretation of proteomics identification results from multiple search engines.","Robert Ahrends",https://bio.tools/peptideshaker,
PhD-SNP,http://snps.biofold.org/phd-snp/,,"ELIXIR Italy","Molecular and cellular structures, Proteins and proteomes",,"Predictor of human deleterious Single Nucleotide Polymorphisms.","Emidio Capriotti",https://bio.tools/phd-snp,
PhD-SNPg,https://snps.biofold.org/phd-snpg/,,"ELIXIR Italy",,,"A binary classifier for predicting pathogenic variants in coding and non-coding regions.","Emidio Capriotti",https://bio.tools/phd-snpg,
PHI-base,http://www.phi-base.org,,"ELIXIR UK","Genes and genomes",,"A catalogue of experimentally-verified pathogenicity, virulence and effector genes involved in the infection of animal, plant, fungal and/or insect hosts.","Kim Hammond -Kosack",https://bio.tools/phi-base,http://doi.org/10.25504/fairsharing.73cqdk
Phylogeny.fr,http://www.phylogeny.fr/,,"ELIXIR France","Evolution and phylogeny",,"phylogeny.fr is a web server intended to phylogenetic analyses.It has been designed to let non-specialist as well as expert users execute phylogenetic workflows. These workflows automatically chain programs to  perform different tasks: the identification of homologous sequences, their multiple alignment, the alignment curation, the phylogenetic reconstruction and the graphical representation of the inferred tree.","Olivier Gascuel & Jean-Michel Claverie",https://bio.tools/phylogeny.fr,
PhylomeDB,http://phylomeDB.org,,"ELIXIR Spain","Genes and genomes",,"PhylomeDB is a public database for complete catalogs of gene phylogenie. It allows users to interactively explore the evolutionary history of genes through the visualization of phylogenetic trees and multiple sequence alignments.",,https://bio.tools/phylomedb,
PHYLOViZ,http://www.phyloviz.net/,,"ELIXIR Portugal","Evolution and phylogeny",,"PHYLOViZ is a platform independent JAVA software that allows the analysis of sequence-based typing methods that generate allelic profiles and their associated epidemiological data.","Alexandre Francisco",https://bio.tools/PHYLOViZ,
PhyML,https://github.com/stephaneguindon/phyml,,"ELIXIR France","Evolution and phylogeny, Genes and genomes",,"PhyML is a software that estimates maximum likelihood phylogenies from alignments of nucleotide or amino acid sequences. The main strength of PhyML lies in the large number of substitution models coupled to various options to search the space of phylogenetic tree topologies, going from very fast and efficient methods to slower but generally more accurate approaches. PhyML was designed to process moderate to large data sets. In theory, alignments with up to 4,000 sequences 2,000,000 character-long can be processed. PhyML can process data sets made of multiple genes and fit sophisticated substitution models with heterogeneous components across partition elements.","Stéphane Guindon",https://bio.tools/phyml,
Phyre2,http://www.sbg.bio.ic.ac.uk/~phyre2/html/page.cgi?id=index,,"ELIXIR UK","Molecular and cellular structures",,"A suite of tools available on the web to predict and analyze protein structure, function and mutations. ","Michael Sternberg",https://bio.tools/phyre,
PICKLE,http://www.pickle.gr,,"ELIXIR Greece","Proteins and proteomes",,"A human protein-protein interaction meta-database employing primary dataset integration via genetic information ontology, which allows the integrated network to be reversibly normalized to any level of genetic reference without loss of source information and enables primary PPI dataset cross-checking. The PICKLE web-based interface allows for the simultaneous query of multiple entities and provides integrated human PPI networks at either the protein or the gene level, at three PPI filtering modes.","Nicholas Moschonas, Maria Klapa",https://bio.tools/pickle,
PiCnIc,https://sites.google.com/site/troncopackage/picnic,,"ELIXIR Italy","Genes and genomes",,"Pipeline for Cancer Inference

A pipeline to extract ensemble-level progression models from cross-sectional sequenced cancer genomes.","Marco Antoniotti",https://bio.tools/picnic,
"PiGx pipelines",https://bioinformatics.mdc-berlin.de/pigx/,,"ELIXIR Germany","Genes and genomes",,"PiGx is a collection of genomics pipelines. All pipelines are easily configured with a simple sample sheet and a descriptive settings file. ",,,
PIPAx,http://pipa.biolab.si/,,"ELIXIR Slovenia",,,"An environment for NGS data management and analytics",,,
PIPPA,https://pippa.psb.ugent.be/pippa_nav/home/,,"ELIXIR Belgium","Genes and genomes",,"Web-interface and database providing tools for the management of different plant phenotyping platforms, and the analysis of images and data.","Dirk Inzé",https://bio.tools/PIPPA,
"Plant Experimental Assay Ontology (PEAO)",https://bitbucket.org/PlantExpAssay/ontology,,,,,"A comprehensive ontology for the plant domain, that is useful for data integration and querying heterogeneous data.","Inês Chaves",https://bio.tools/peao,http://doi.org/10.25504/fairsharing.fgmzk8
"Plant Genome Annotation",https://github.com/PGSB-HMGU/plant.annot,,"ELIXIR Germany",,,"Annotation of plant reference genomes and pangenomes, support and consulting.","Heidrun Gundlach",,
PlantsDB,http://pgsb.helmholtz-muenchen.de/plant/plantsdb.jsp,,,"Genes and genomes",,"Providing a data and information resource for individual plant species","Manuel Spannagl",https://bio.tools/plantsdb,
Platon,https://github.com/oschwengers/platon,,"ELIXIR Germany",,,"Platon detects plasmid-borne contigs within bacterial draft (meta) genomes assemblies. It analyses the distribution bias of protein-coding gene families among chromosomes and plasmids.",,https://bio.tools/Platon,
PLAZA,https://bioinformatics.psb.ugent.be/plaza/,,"ELIXIR Belgium","Genes and genomes","Recommended Interoperability Resources","Plant-oriented online resource for comparative, evolutionary and functional genomics.","Klaas Vandepoele",https://bio.tools/plaza_dicots,https://bio.tools/plaza_monocots
PLUMED,http://plumed.github.io/doc-v2.4/user-doc/html/index.html,,"ELIXIR Italy","Molecular and cellular structures, Proteins and proteomes",,"An open-source plug-in that provides some of the most popular molecular dynamics (MD) codes with implementations of a variety of different enhanced sampling algorithms and collective variables.","Carlo Camilloni",https://bio.tools/pymod,
PMDB,http://srv00.recas.ba.infn.it/PMDB/help.php,,"ELIXIR Italy","Molecular and cellular structures, Proteins and proteomes",,"The Protein Model Database stores manually built 3D models of proteins.","Tiziana Castrignanò",https://bio.tools/pmdb,https://fairsharing.org/FAIRsharing.wkaakq
PolarProtDb,http://polarprotdb.ttk.hu/,,"ELIXIR Hungary","Proteins and proteomes",,"Database of localization and post-translational modifications of transmembrane proteins in polarized cells",,https://bio.tools/polarprotdb,
PolarProtPred,http://polarprotpred.ttk.hu,,"ELIXIR Hungary","Proteins and proteomes",,"A method for estimating the localization of transmembrane proteins in polarized cells",,https://bio.tools/polarprotpred,
PomBase,https://www.pombase.org/,,"ELIXIR UK",,"Core Data Resources","PomBase is a model organism database that provides organization of and access to scientific data for the fission yeast Schizosaccharomyces pombe. PomBase supports genomic sequence and features, genome-wide datasets and manual literature curation.

PomBase also provides a community hub for researchers, providing genome statistics, a community curation interface, news, events, documentation and mailing lists.","Steve Oliver, Val Wood, Jürg Bähler",https://bio.tools/pombase,https://fairsharing.org/FAIRsharing.8jsya3
PoseView/Edit,https://proteins.plus/2ozr#poseview,,"ELIXIR Germany","Proteins and proteomes",,"PoseView automatically creates two-dimensional diagrams of complexes with known 3D structure according to chemical drawing conventions.",,https://bio.tools/poseview,
POTAMOS,http://195.251.201.206/,,"ELIXIR Greece",,,"Post-Translational Modifications Mass Spectrometry Calculator (Emerging Service) 

A free web application that simplifies mass spectrometry calculations for post-translationally modified proteins.","Anastasia Politou",https://bio.tools/potamos,
PrankWeb,https://prankweb.cz,,"ELIXIR Czech Republic","Proteins and proteomes",,"Web application for protein-ligand binding sites analysis and visualization | This repositary contains PrankWeb web application.",,https://bio.tools/PrankWeb,
Precog,http://precog.russelllab.org/,,"ELIXIR Germany",,,"An ML-based tool/web-server to (i) predict GPCR-G-protein couplings; (ii) visually inspect the protein sequence and structural features that are responsible for a particular coupling; (iii) suggest mutations to rationally design artificial GPCRs with new coupling properties based on predetermined coupling features","Rob Russel",https://bio.tools/precog,
PredGPI,https://busca.biocomp.unibo.it/predgpi/,,"ELIXIR Italy","Proteins and proteomes",,"A prediction system for GPI-anchored proteins.","Castrense Savojardo",https://bio.tools/predgpi,
PredictSNP,http://loschmidt.chemi.muni.cz/predictsnp/,,"ELIXIR Czech Republic","Genes and genomes",,"Tool for prediction of disease related mutations in proteins. Tool version 2 (PredictSNP 2) for prediction of disease related mutatins within human genome available since 2016.","Jiří Damborský/David Bednář",https://bio.tools/predictsnp,
PRIDE,http://www.ebi.ac.uk/pride,,EMBL-EBI,"Proteins and proteomes","Core Data Resources, ELIXIR Deposition Databases","PRIDE (The Proteomics Identifications Database) is a standards-compliant, public repository for proteomics data. It contains protein and peptide identifications and their associated supporting evidence.","Lennart Martens",https://bio.tools/pride,http://doi.org/10.25504/fairsharing.e1byny
Primer3,http://primer3.ut.ee,,"ELIXIR Estonia","Genes and genomes",,"Primer3 is a program for designing PCR primers and oligos. ","Maido Remm",https://bio.tools/primer3,
ProBiS,http://probis.cmm.ki.si/,,"ELIXIR Slovenia","Proteins and proteomes",,"Tool for the detection of structurally similar protein binding sites and pairwise local structural alignment",,https://bio.tools/probis,
